handle,name,developer,description,rating,reviews,category,has_free_plan,min_price,max_price,url
shopkeeper-premium,ShopKeeper Premium Gift Cards,ShopKeeper,The gift of personalization with a gift card app that lets customers customize and send digital gift cards that match your branding. Flat fee monthly fee!,5.0,5.0,marketing-and-conversion-gifts-gift-cards,True,9.99,399.99,https://apps.shopify.com/shopkeeper-premium
locanear,Locanear,Scale-x agency,,,,sales-channels-selling-in-person-store-locator,True,,,https://apps.shopify.com/locanear
lurk,Lurk ‑ Dynamic Pricing,AppToScale,Competitor Price Tracking of Any Website & Dynamic Pricing Automation,4.5,8.0,selling-products-pricing-pricing-optimization,True,49.0,199.0,https://apps.shopify.com/lurk
assemblified,Assemblified Bill of Materials,P&H Cloud Solutions UG (haftungsbeschränkt),Tired of manually tracking inventory for your Shopify bundles? Assemblified syncs component stock automatically. Prevent overselling & handle returns effortless,5.0,26.0,store-management-operations-workflow-automation,True,6.0,12.0,https://apps.shopify.com/assemblified
inventoryiq,InventoryIQ,Budget Utopia,"ROI-ranked reorder recommendations, clamped to your real cash budget. Forecast demand and prevent stockouts for Shopify stores with 50+ SKUs.",,,orders-and-shipping-inventory-inventory-optimization,True,39.0,249.0,https://apps.shopify.com/inventoryiq
subly-subscriptions,Subly Subscriptions ,Boost Apps,"Add subscriptions and build-a-box to your store: recurring orders, a Subscribe & Save widget, and a self-serve customer portal. No code required.",,,selling-products-payments-subscriptions,True,9.87,99.87,https://apps.shopify.com/subly-subscriptions
simla,Simla.com,DIGITAL RETAIL TECHNOLOGIES,,4.7,3.0,,True,,,https://apps.shopify.com/simla
vestico,Vestico AI Size Recommender,vestico Ltd,,5.0,5.0,store-design-product-display-product-comparison,True,249.0,849.0,https://apps.shopify.com/vestico
frete-no-produto,Frete no Produto Empreender,App Makers LLC,"O Frete no Produto te permite adicionar o box de CEP e também a estimativa de entrega da mercadoria na própria página do produto, melhorando a experiência.",5.0,2.0,orders-and-shipping-shipping-solutions-shipping-rates,True,5.0,5.0,https://apps.shopify.com/frete-no-produto
mirror-sync,MirrorSync ‑ Multi Store Sync,MirrorSync,,,,orders-and-shipping-inventory-inventory-sync,True,19.0,99.0,https://apps.shopify.com/mirror-sync
aovboost-1,AOVBoost,Bowstone Studios,,,,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,True,19.0,99.0,https://apps.shopify.com/aovboost-1
loyaltydog,LoyaltyDog Rewards & Loyalty,LoyaltyDog,The ultimate digital loyalty program for bricks and mortar and eCommerce merchants.  Branded Loyalty Passes and free push notifications. Incentives and Rewards.,5.0,4.0,marketing-and-conversion-promotions-discounts,True,29.0,29.0,https://apps.shopify.com/loyaltydog
liverecover,vyg.ai | Unified Commerce,LiveRecover,,4.9,73.0,store-management-operations-analytics,True,,,https://apps.shopify.com/liverecover
mailcommerce-ai,MailCommerce AI,Mailcommerce Limited,,,,marketing-and-conversion-marketing-email-marketing,True,0.01,0.01,https://apps.shopify.com/mailcommerce-ai
ageverify-3,AgeVerify ‑ Age Gate Popup,Limeforge,"Add a customizable age verification popup to your Shopify store. Button, checkbox, or DOB verification with custom branding and analytics. Free plan available.",,,store-design-notifications-pop-ups,True,4.99,4.99,https://apps.shopify.com/ageverify-3
shuffler,Shuffler,Rami Apps,Keep your Shopify store fresh by rotating and shuffling products automatically. Give more products chance to be seen without manual sorting.,5.0,1.0,store-design-product-display-collections,True,3.9,49.9,https://apps.shopify.com/shuffler
self-faq,Willdesk: Live Chat&AI Chatbot,Channelwill,"Boost customer experience with AI-driven workflows & omnichannel enablement. Willdesk offers product recommendations,emotion detection, and efficient after-sale",4.8,355.0,store-management-support-chat,True,16.9,89.9,https://apps.shopify.com/self-faq
wrapin-gift-wrap,Wrapin ‑ Gift Wrap & Options,Prezen Apps,,4.9,355.0,marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,True,3.99,7.99,https://apps.shopify.com/wrapin-gift-wrap
garrio,Garrio: Support & Live Chat,"Garrio, Inc.","AI customer support, live chat, and helpdesk. Answer questions instantly and track which conversations drive sales. Free plan, install in minutes.",5.0,1.0,store-management-support-chat,True,10.0,500.0,https://apps.shopify.com/garrio
rvs-voice-search,RVS Voice Search,RVS MEDIA,Speak to Search by RVS Voice Search,,,,True,3.49,3.49,https://apps.shopify.com/rvs-voice-search
faqq,Qe FAQ Page & Product FAQs,QeApps,"Create a powerful FAQ page with detailed product FAQ and Q&A to handle customer queries, streamline your help center, and build trust that drives conversions.",5.0,1.0,store-management-support-faq,True,1.0,1.0,https://apps.shopify.com/faqq
shopify-application-455,配送日時指定くん | 配送日時指定 | 商品別で配送便の指定,もると株式会社,,,,orders-and-shipping-shipping-solutions-delivery-and-pickup,True,10.0,10.0,https://apps.shopify.com/shopify-application-455
shipnxt-app,OrderNXT,CargoNXT Sp z o o,"Streamline Shopify order fulfillment with label creation, customs forms, and multi-carrier support — all in one easy-to-use shipping platform.",5.0,1.0,orders-and-shipping-shipping-solutions-shipping,True,,,https://apps.shopify.com/shipnxt-app
bazar-widget,Bazar Pre Purchase Surveys,Bazar,"Discount Pop Up, Email Capture, Survey Customers, Affiliate Marketing",,,marketing-and-conversion-promotions-discounts,True,,,https://apps.shopify.com/bazar-widget
smarter-announcement-bar,AJ WebCom ‑ Announcement Bar,AJ WebCom Solutions,Enhance your brand promotions and drive more sales with our Smarter Announcement Bar. Easily showcase offers and engage customers for better conversions.,,,store-design-notifications-banners,True,5.0,15.0,https://apps.shopify.com/smarter-announcement-bar
fitting-room-app,Fitting Room,Fitting Room,A tasteful virtual try-on widget seamlessly integrated to Shopify stores to boost shopper confidence.,,,store-design-images-and-media-3d-ar-vr,True,,,https://apps.shopify.com/fitting-room-app
pause,Pause: AI Customer Feedback,Pause,Type a goal. Pause asks customers a focused question when they pause and turns replies into themes. Free plan. Works on Shopify.,,,store-management-support-surveys,True,16.0,16.0,https://apps.shopify.com/pause
access-pro,ADA Accessibility Widget by AP,Entangle Commerce,"Make your Shopify store ADA & WCAG 2.2 compliant in one click. Accessibility widget with AI alt text, automated audits & a compliance statement. Free plan.",4.9,86.0,store-design-site-optimization-accessibility,True,4.99,29.0,https://apps.shopify.com/access-pro
html5-audio-player,Audio Player by bPlugins,bPlugins,Integrating audio into your online store can significantly enhance the shopping experience. You can easily add an audio player to any page.,,,store-design-design-elements-animation-and-effects,True,4.99,9.99,https://apps.shopify.com/html5-audio-player
lefty,Lefty,Lefty,,,,marketing-and-conversion-advertising-affiliate-programs,True,,,https://apps.shopify.com/lefty
dts-signify-customizer,NT Signify Customizer,Nugro Tech Pvt Ltd,"Create custom signs effortlessly with NT Signify Customizer. Choose from illuminated,neon and flat styles to boost your brand. Start your 15-day free trial!",,,,True,5.0,5.0,https://apps.shopify.com/dts-signify-customizer
id-me-group-verification,ID.me Community Verification,ID.me,,4.0,22.0,marketing-and-conversion-promotions-discounts,True,50.0,50.0,https://apps.shopify.com/id-me-group-verification
shipit,Shipit,Uniwin,,,,,True,5.0,5.0,https://apps.shopify.com/shipit
announcements-bar-boost-sales,B&S ‑ Announcement Bar,Boost And Sales,,5.0,6.0,store-design-notifications-banners,True,,,https://apps.shopify.com/announcements-bar-boost-sales
magefan-persistent-cart,Persistent Cart Recovery,Magefan,"Sync cart in your store across devices and browsers to reduce cart abandonment, improve retention and boost sales with Magefan Persistent Cart Recovery app!",,,marketing-and-conversion-marketing-abandoned-cart,True,,,https://apps.shopify.com/magefan-persistent-cart
gom-tools,GOM Tools: Addons + WhatsApp,GOM Network,"Con GOM Tools puedes agregar a tu sitio web widget de contacto con WhatsApp, formularios, base de datos de contactos, reportes y más en unos pocos pasos.",,,,True,,,https://apps.shopify.com/gom-tools
compose-app,Compose ‑ A/B Testing,Compose,"No-code A/B testing on themes, features, and designs. Real-time split testing with ultra-fast performance, personalization, and audience segmentation.",,,,True,,,https://apps.shopify.com/compose-app
lk-vid-stories,Lk Videos Stories,LK Interactive,"Add Instagram-style video storie to your Shopify store. Showcase products with short videos, boost engagement, and turn visitors into buyers with Video Stories",,,store-design-images-and-media-video-and-livestream,True,14.99,79.99,https://apps.shopify.com/lk-vid-stories
gp-free-shipping-bar,GP Free Shipping Bar,GroPulse,Display a customizable free shipping bar to boost sales and conversions. Motivate customers to meet shipping goals with dynamic and responsive features.,4.6,15.0,store-design-notifications-banners,True,4.99,9.99,https://apps.shopify.com/gp-free-shipping-bar
everhort,Everhort,Lifetime Analytics,,5.0,3.0,store-management-operations-analytics,True,49.0,99.0,https://apps.shopify.com/everhort
quick-view-maker,Quick View Maker,JoboApps,Quick View maker app allows users to view products without opening the product page quickly,,,marketing-and-conversion-checkout-cart-customization,True,4.99,4.99,https://apps.shopify.com/quick-view-maker
trackly,Trackly,Snow John,"Trackly records how visitors interact with your store. Analyze clicks, scrolls, and sessions to improve UX and make data-driven decisions.",,,store-management-operations-analytics,True,29.0,79.0,https://apps.shopify.com/trackly
ocasa-stage,Ocasa,OCASA,,,,orders-and-shipping-shipping-solutions-shipping,True,,,https://apps.shopify.com/ocasa-stage
universal-sms-pakistan,Universal SMS Pakistan,Devsol,"Configure your own sms account with Shopify and auto send Order notifications to customer, Abandoned cart recovery, OTP, Bulk marketing SMS to customers.",5.0,12.0,marketing-and-conversion-marketing-sms-marketing,True,,,https://apps.shopify.com/universal-sms-pakistan
findify-search,Findify Search & Merchandise,Findify,,4.6,65.0,store-design-search-and-navigation-search-and-filters,True,499.0,799.0,https://apps.shopify.com/findify-search
shaku-widget,Shaku: Size Recommendation,shaku,Reduce return rates and boost customer satisfaction with Shaku – the AI-powered size measurement app for Shopify clothing stores with easy installation.,,,,True,,,https://apps.shopify.com/shaku-widget
boostx-sales-boost-sections,BoostX: Sales Boost Sections,Shopsta,"Improve sales with 15 popular sales boost sections including badges, videos, sliders, sales notification, countdown, whatsapp, cross sell...",,,store-design-storefronts-page-builder,True,9.99,9.99,https://apps.shopify.com/boostx-sales-boost-sections
raffle-315,Raffle 315 | Exclusive Raffles,"Huckleberry, Inc.（ハックルベリー）",Raffle 315はShopifyでの抽選販売を自動化し、限定商品等の販売を円滑にします。無制限の応募受付、ランダム・手動の柔軟な当選選定、一括落選処理に対応。当選者には購入用メールを自動送信し、ストアの決済方法で安全に購入頂けます。当落に応じた顧客タグ付与により、次回のメルマガ等のマーケティング活用も簡単です。,,,,True,,,https://apps.shopify.com/raffle-315
copypro-app,CopyPro,dser.io,,,,,True,9.8,49.8,https://apps.shopify.com/copypro-app
get-funneled,Funneled,Funneled,,,,,True,,,https://apps.shopify.com/get-funneled
glowpop,GlowPop,ARMONİKA DİJİTAL,,,,store-design-notifications-pop-ups,True,10.0,10.0,https://apps.shopify.com/glowpop
genius-referrals,360º Referral Program Suite,Geniusreferrals,,,,marketing-and-conversion-advertising-affiliate-programs,True,39.0,399.0,https://apps.shopify.com/genius-referrals
notifications-popups,Oct: Popups Plus,OctSpace,"Grow your email & SMS list with gamified scratch card popups. Offer instant discounts, capture leads, and sync with Klaviyo — no coding needed.",,,store-design-notifications-pop-ups,True,100.0,149.0,https://apps.shopify.com/notifications-popups
simplified-store-locator,Simplified Store Locator,Devsinc,,2.6,4.0,sales-channels-selling-in-person-store-locator,True,7.99,29.99,https://apps.shopify.com/simplified-store-locator
dropshiplab-ai,Dropship Lab,Dropship LAB,,,,finding-products-sourcing-options-dropshipping,True,,,https://apps.shopify.com/dropshiplab-ai
cela,Cela 3D/AR Integration,Cela Technology Inc,,,,,True,,,https://apps.shopify.com/cela
trackfly,TrackFly,TrackFly,,,,sales-channels-selling-online-store-data-importer,True,,,https://apps.shopify.com/trackfly
link-it-sell-secret-url,LinkIT ‑ Sell Digital Products,Livestream Labs,"Sell digital products with tools you already know (Google Drive, Dropbox, Youtube, Vimeo). For advanced users, LinkIT is compatible with any HTTPS, FTP, S3 link",5.0,1.0,selling-products-digital-goods-and-services-digital-products,True,14.99,29.0,https://apps.shopify.com/link-it-sell-secret-url
omnibus-compliant-price,Omnibus ‑ EU Compliant Price,Made in Evolve S.r.l.,,5.0,2.0,store-management-security-legal,True,9.99,19.99,https://apps.shopify.com/omnibus-compliant-price
in-it-apparel,In.It Dropship–Print on demand,FiveFriday,,,,,True,,,https://apps.shopify.com/in-it-apparel
real-time-find-and-replace,Real Time Find And Replace,Naim Hossain,,,,,True,1.0,1.0,https://apps.shopify.com/real-time-find-and-replace
year-make-model-fitment-search,Convermax: Year Make Model ,Convermax,,5.0,15.0,store-design-search-and-navigation-search-and-filters,True,250.0,850.0,https://apps.shopify.com/year-make-model-fitment-search
stock-sales-alerts,Stock & Sales Alerts,株式会社SoupPot!,"Get real-time alerts for low stock, restocks, and sales changes. Customize thresholds and receive instant notifications via Slack or email.",,,marketing-and-conversion-upsell-and-bundles-stock-alerts,True,9.99,39.99,https://apps.shopify.com/stock-sales-alerts
aio-search-1,AIO Search & Advanced Filter,EXENLABS,"AIO Search & Advanced Filter helps customers find products faster with autocomplete, filtering, and advanced search across all product fields.",,,store-design-search-and-navigation-search-and-filters,True,9.0,49.0,https://apps.shopify.com/aio-search-1
shopvisual-collection-grid,Collection ‑ Slider & Grid,Alpha Edge,"Create responsive collection grids, sliders and carousels with full control. Customize layouts per device, choose modern templates and style with hover effects.",,,,True,4.99,4.99,https://apps.shopify.com/shopvisual-collection-grid
store-locator-4,RP ProMap ‑ Store Locator,Rose Perl Technology LLC,"Improve customer experience and drive more in-store sales. Add store locations individually or in bulk, and list by location, radius, custom tags, and more!",4.8,379.0,sales-channels-selling-in-person-store-locator,True,9.99,69.99,https://apps.shopify.com/store-locator-4
exit-intent-popup,Exit intent popup with coupon ,Pushdaddy,"Boost your Shopify sales with custom exit intent popups. Engage visitors, reduce cart abandonment, and increase conversions with personalized offers and targete",3.0,1.0,marketing-and-conversion-marketing-abandoned-cart,True,,,https://apps.shopify.com/exit-intent-popup
ecomlly-ai-store-builder,eComlly: AI Store Builder,Zenvom Ltd,Ecomlly helps you launch online stores faster with pre-designed layouts and guided setup. Create a complete store structure and customize it easily.,,,store-design-storefronts-page-builder,True,,,https://apps.shopify.com/ecomlly-ai-store-builder
doba-1,Doba ‑ AI Dropshipping,Doba Dropship,"Access to a wider selection of winning products from reliable USA-based suppliers with fast shipping, staying competitive in the dropshipping market.",4.1,43.0,finding-products-sourcing-options-dropshipping,True,29.99,299.99,https://apps.shopify.com/doba-1
allergenaware,AllergenAware,FearTheWild,"Allergen and dietary labels that warn shoppers automatically — across product pages, cart, and checkout. Made for UK Natasha's Law and EU FIC.",,,store-management-security-legal,True,14.99,49.0,https://apps.shopify.com/allergenaware
priya-cod-form,Priya COD Form: Made In India,Aulingo,Highly Customizable COD Form,4.1,4.0,selling-products-payments-pay-later,True,,,https://apps.shopify.com/priya-cod-form
dmtoleadapi,dmtolead,FORTUNA SUPPLY LTD,"Add an AI chatbot to your Shopify store that answers product, stock, shipping, and order questions, recommends products, and shows chats in Shopify admin.",,,,True,5.0,59.0,https://apps.shopify.com/dmtoleadapi
ecomitize,Helix,Helix Integration Platform ,"Integration for Shopify and Channeladvisor, Counterpoint, Magento, Amazon, Walmart ",,,orders-and-shipping-inventory-inventory-sync,True,500.0,500.0,https://apps.shopify.com/ecomitize
chargebackwiz,ChargebackWiz: Win Chargebacks,Chargebackwiz,"Fight and win Shopify chargebacks & payment disputes automatically. Evidence assembled from your orders, submitted before deadlines. Pay only when you win.",,,store-management-security-fraud,True,,,https://apps.shopify.com/chargebackwiz
purchase-ai,Purchase AI,Appify,"Guide shoppers through custom product options with AI that answers questions, sets calculator options, and helps complete complex configurations.",,,store-management-support-chat,True,49.99,49.99,https://apps.shopify.com/purchase-ai
stockpilot-11,StockPilot ‑ Low Stock Alerts,Anvil Apps,"Reliable low-stock email alerts and a vendor-grouped restock plan with days-of-cover thresholds. Multi-location, no theme changes, 3-minute setup.",,,orders-and-shipping-inventory-inventory-optimization,True,9.0,19.0,https://apps.shopify.com/stockpilot-11
mvn-waveviz,MVN Waveviz,MVN Mai Bui,"Embed interactive audio waveform previews into your Shopify product pages. Enhance the customer experience with customizable, visual audio players.",5.0,2.0,store-design-design-elements-animation-and-effects,True,12.0,12.0,https://apps.shopify.com/mvn-waveviz
ideal-house-ai-tools,IdealHouse Material Visualizer,cutout.pro,"Increase conversion by allowing customers to visualize products in their own space. Realistic AI swap for flooring, fabric & decor. Setup in minutes.",,,store-design-product-display-product-comparison,True,39.0,99.0,https://apps.shopify.com/ideal-house-ai-tools
select-courier,Select Courier,Select Courier,Create your free account and access real-time transits and all-in rates from most couriers. Easy worldwide shipping.,,,,True,,,https://apps.shopify.com/select-courier
nift,Nift Advertising for Brands,Nift Networks,,3.0,9.0,marketing-and-conversion-advertising-ads,True,,,https://apps.shopify.com/nift
cost-cost-based-discounts,Cost+: Advanced POS Discounts,Made Simple Apps,"Cost+ seamlessly integrates with Shopify POS, empowering merchants to swiftly apply cost-based discounts to their cart.",5.0,2.0,marketing-and-conversion-promotions-discounts,True,4.99,14.99,https://apps.shopify.com/cost-cost-based-discounts
shop-protector,SB Disable Right Click,SetuBridge,"Secure Shop Protector App Protect Your Store from theft, Web Scraping of content, image, code visibility. Security on Disable right-click and console protector",,,store-management-security-anti-theft,True,,,https://apps.shopify.com/shop-protector
vocato,Vocato ‑ Vocatives & Name days,Appfleece,,,,,True,,,https://apps.shopify.com/vocato
stock-risk-radar,Stock Risk Radar,Hafsa Software-,"Find products with shrinking inventory before stock runs out using sales velocity, risk scores, location stock, and CSV exports.",,,orders-and-shipping-inventory-inventory-optimization,False,5.0,5.0,https://apps.shopify.com/stock-risk-radar
magik-smart-upsell,Magik Smart Upsell,Invictus Alpha,,,,,True,,,https://apps.shopify.com/magik-smart-upsell
levelops-email-to-order,PDF to Order by LevelOps,LevelOps,"Stop retyping B2B purchase orders. AI turns customer emails, PDFs, and Excel files into Shopify draft orders. No templates, no SKU table needed.",5.0,18.0,orders-and-shipping-orders-order-editing,True,100.0,250.0,https://apps.shopify.com/levelops-email-to-order
vortexiq-insights,Vortex IQ: AI Operating System,VortexIQ,"Vortex IQ watches your store, tells you what is wrong and why, and helps you fix it safely. Automate SEO, monitor around the clock, and just ask Viq.",5.0,1.0,store-management-operations-analytics,True,499.0,499.0,https://apps.shopify.com/vortexiq-insights
cazaar,Cazaar,ILFD GROUP LTD,,,,sales-channels-selling-online-marketplaces,True,2.0,2.0,https://apps.shopify.com/cazaar
hide-soldout-ouiteo,Ouiteo: Hide Sold Out,Ouiteo Technologies,,,,orders-and-shipping-inventory-inventory-optimization,True,4.99,14.99,https://apps.shopify.com/hide-soldout-ouiteo
aspireiq-elevate,Aspire,Aspire,,4.3,12.0,marketing-and-conversion-advertising-ads,True,,,https://apps.shopify.com/aspireiq-elevate
announcement-pro,Annoucement Pro,Devmont Digital,"Create and customize announcement bars to promote offers, updates, and discounts. Boost engagement with scrolling, rotating, and sticky banners.",,,store-design-notifications-banners,True,,,https://apps.shopify.com/announcement-pro
copdate,Copdate Partner Services,Princefully Inc.,,,,,True,,,https://apps.shopify.com/copdate
background-image-remover,Pxl ‑ Photo Background Remover,Axel Hardy,,5.0,31.0,store-design-images-and-media-image-editor,True,,,https://apps.shopify.com/background-image-remover
filerobot-by-scaleflex,Scaleflex DAM,Scaleflex,"Scaleflex DAM helps teams to store, process, share, accelerate any file (images, videos).
It processes and accelerates images, videos and static content.",,,,True,,,https://apps.shopify.com/filerobot-by-scaleflex
tyre-trader-eu,Tyre Trader EU,DXSoft,"Reifen per Dropshipping verkaufen: EU-Lieferantenfeeds importieren, Preise und Bestand automatisch synchron halten, Bestellungen automatisch erfüllen.
",,,sales-channels-selling-online-product-feeds,True,99.0,999.0,https://apps.shopify.com/tyre-trader-eu
jp-address-validator,シンプル配送先住所チェッカー｜住所不備を事前検知,nk technologies,,,,,True,79.0,79.0,https://apps.shopify.com/jp-address-validator
k-website-translator,K: Website Translator,Kaktus,,,,store-design-internationalization-currency-and-translation,True,,,https://apps.shopify.com/k-website-translator
superleadz-by-xircls,SuperLeadz by XIRCLS,AXENTRA OS,,4.3,6.0,store-design-notifications-pop-ups,True,29.99,299.99,https://apps.shopify.com/superleadz-by-xircls
artifind-image-optimizer,Artifind: WEBP Image Optimizer,Codeven,"Automatically compress and convert Shopify images to WebP and AVIF. Optimize product, collection, and blog images with safe backups and one-click restore.",3.0,2.0,store-design-images-and-media-image-editor,True,14.99,74.99,https://apps.shopify.com/artifind-image-optimizer
aerodrop-1,Aerodrop,Aero Apps,,,,,True,18.0,48.0,https://apps.shopify.com/aerodrop-1
mega-product-tabs,Mega Product Tabs,Mega Profit Apps,Create dynamic product tabs with Mega Product Tabs for Shopify. Organize product info and improve UX across all devices.,,,,True,1.59,1.99,https://apps.shopify.com/mega-product-tabs
zenny,Zenny,Zenny,,,,,True,,,https://apps.shopify.com/zenny
freedropship-pro,SilkRoad H&O Dropshipping,QCommerce,,,,finding-products-sourcing-options-dropshipping,True,12.0,12.0,https://apps.shopify.com/freedropship-pro
instant-wishlist,Instant Wishlist,Salish Studios LLC,"Add a wishlist button and page to your Shopify theme in minutes. Guests save without login, lists sync across devices, and you see your most-wanted products.",,,marketing-and-conversion-customer-loyalty-wishlists,True,19.0,39.0,https://apps.shopify.com/instant-wishlist
refund-guard-1,Refund Guard,plugins,"Preview non-refundable Shopify refund fees before you refund. Covers Klarna, Afterpay, card processing & BNPL merchant fees—order alerts, dashboard & simulator.",,,,True,10.0,10.0,https://apps.shopify.com/refund-guard-1
shelflife-1,Shelflife: low stock forecasts,msfts,"Shelflife predicts exactly when your products sell out and alerts you before it's too late. Proven forecasting, stock alerts, and purchase order tracing.",,,orders-and-shipping-inventory-inventory-optimization,True,35.0,35.0,https://apps.shopify.com/shelflife-1
popup-king-sell-engage,Popup King: Sell & Engage,Arvest Main,"Shopify APP Popup King: Drive sales, recover carts, enhance AOV, capture leads, and engage customers with customizable popups designed for Shopify merchants.",,,,True,5.0,5.0,https://apps.shopify.com/popup-king-sell-engage
junia-ai,Junia AI,Junia AI,,,,,True,39.0,39.0,https://apps.shopify.com/junia-ai
googlesheets-sync,Sync: Bulk Edit Google Sheets,StoreSpark,,4.7,11.0,store-management-operations-bulk-editor,True,15.0,30.0,https://apps.shopify.com/googlesheets-sync
gpsr-safety-sync,GPSR Safety Sync,Mainul Islam,"Add the EU GPSR product-safety details (manufacturer, EU responsible person, warnings) and show them in a tidy safety panel on every product page.",,,store-management-security-legal,True,12.99,12.99,https://apps.shopify.com/gpsr-safety-sync
stock-sentry,Stock Sentry: Low Stock Alerts,Stock Sentry,"Automated low stock alerts for Shopify stores. Monitor inventory levels, set custom thresholds, and receive email notifications before you run out.
",,,orders-and-shipping-inventory-inventory-optimization,True,4.99,4.99,https://apps.shopify.com/stock-sentry
naxe-offer-engine,Naxe Offer Engine,-,"Create  offers with rule-based discounts, add-ons, upsell & FBT. Customize design, show inline or popup offers, and track  performance.",,,,True,8.0,8.0,https://apps.shopify.com/naxe-offer-engine
trac91-order-fulfilment,TRAC91 ‑ Order Fulfilment,Trac91,,,,orders-and-shipping-shipping-solutions-shipping,True,,,https://apps.shopify.com/trac91-order-fulfilment
paid-api,Paid（BtoB後払い）API連携用アプリ,株式会社ラクーンフィナンシャル,,,,,True,,,https://apps.shopify.com/paid-api
customaple-print-on-demand,Customaple: Print on Demand,customaple,,,,,True,,,https://apps.shopify.com/customaple-print-on-demand
delta-bulk-price-editor,Delta: Bulk Price Editor,GLASIR SOFTWARE,"Bulk edit prices and discounts on your Shopify store. Schedule sales, automate rounding and compare-at pricing, and undo any bulk change in one click.",5.0,2.0,,True,6.0,6.0,https://apps.shopify.com/delta-bulk-price-editor
quillship,Quill AI Blog Builder,UDS ,"SEO-ready blog posts that link to your products and publish automatically. Cited research, no hallucinations. Free tier available.",,,store-design-content-blogs,True,10.0,39.0,https://apps.shopify.com/quillship
telepulse,TelePulse,Corelink Telecom,,,,,True,9.99,9.99,https://apps.shopify.com/telepulse
price-per-unit,PricePanda ‑ Price Per Unit,AppStack,,4.9,24.0,,True,15.0,35.0,https://apps.shopify.com/price-per-unit
storelens-ai,StoreLens AI,Bobook Limited,"Find weak product titles, descriptions, tags, and alt text. StoreLens AI helps improve product clarity and AI readiness with reviewable suggestions.",,,store-design-content-product-content,True,29.0,49.0,https://apps.shopify.com/storelens-ai
voyado-engage,Voyado: AI Marketing & Loyalty,Voyado,"Grow loyalty and CLV with Voyado. Retail-trained AI, omnichannel loyalty, unified profiles, and automated journeys that reduce manual work and lift revenue.",4.0,2.0,marketing-and-conversion-marketing-email-marketing,True,199.0,199.0,https://apps.shopify.com/voyado-engage
db-trust-badges,DB Trust Badges & Icons,Debutify,"Add customizable trust badges and icons to product pages and carts. Highlight secure payments, shipping, and guarantees with 24/7 support.",,,store-design-design-elements-badges-and-icons,True,,,https://apps.shopify.com/db-trust-badges
ai-ultimate-optimizer-pro,Enchantrix AI Content Manager,Xpagefy LLC,"Enhance your your store content, with AI-powered content, SEO product descriptions, blog generation, and image optimization fast, simple, and effective.",5.0,2.0,store-design-content-product-content,True,9.99,49.99,https://apps.shopify.com/ai-ultimate-optimizer-pro
smartlane,Smartlane,Smartlane,"Connect your Shop store with Smartlane to manage orders, Smart COD, tracking, and CN printing.",,,orders-and-shipping-shipping-solutions-third-party-logistics-3pl,True,,,https://apps.shopify.com/smartlane
llms-txt-generator-1,LLMify,Krazy Apps,"Automatically generate a llms.txt file for your Shopify store so ChatGPT, Claude, Perplexity, and Gemini can discover and recommend your products.
",,,store-design-site-optimization-seo,True,29.99,29.99,https://apps.shopify.com/llms-txt-generator-1
commercegurus-shoppable-video,CommerceGurus Shoppable Video,CommerceGurus,"Turn videos into sales with Instagram-style shoppable clips. Upload unlimited, import from IG/TikTok, and start converting fast — mobile-first, no hidden fees!",,,store-design-images-and-media-video-and-livestream,True,9.99,9.99,https://apps.shopify.com/commercegurus-shoppable-video
vat-tax-switcher,VAT & Tax Switcher,Anowave,Effective way to add a simple dropdown menu in your store allowing customers to change the way prices are displayed.,5.0,4.0,store-management-finances-taxes,True,7.0,37.0,https://apps.shopify.com/vat-tax-switcher
powerbrand-feed,POWERBRAND XML Catalog Export ,INSTASHOP Corporation,,5.0,1.0,sales-channels-selling-online-product-feeds,True,,,https://apps.shopify.com/powerbrand-feed
robocall-biz-pk,RoboCall Biz Pakistan,H3 Technologies,,,,store-management-operations-workflow-automation,True,10.0,10.0,https://apps.shopify.com/robocall-biz-pk
emanda-newsletter-automatica,Emanda ‑ Newsletter Automática,Emanda CRM fácil para Ecommerce,,,,marketing-and-conversion-marketing-email-marketing,True,7.0,32.0,https://apps.shopify.com/emanda-newsletter-automatica
rankology-seo-booster,Rankology SEO Analytics,Rankology,,,,store-design-site-optimization-seo,True,3.0,39.0,https://apps.shopify.com/rankology-seo-booster
vip-vip-1,UR: VIP Order Discount｜Sales,UnReact Inc.,「シンプルVIP注文割引｜お手軽VIP会員セール設定」は、Shopify 向けのVIP注文割引アプリです。シンプルな料金体系で、追加課金なし。日本製のため、日本語サポートも完備しています。,,,marketing-and-conversion-promotions-discounts,True,1.99,1.99,https://apps.shopify.com/vip-vip-1
abu-cross-selling-upselling,ABU AI; Up/Crosseling Addons,Abu app,"Mejora tus ingresos con recomendaciones de productos, upselling y descuentos inteligentes basados en IA. Aumenta el carrito medio sin esfuerzo técnico.",5.0,3.0,,True,9.99,24.99,https://apps.shopify.com/abu-cross-selling-upselling
elfsight-facebook-reviews,Facebook Reviews by Elfsight,Elfsight,,4.0,7.0,marketing-and-conversion-social-trust-product-reviews,True,5.99,5.99,https://apps.shopify.com/elfsight-facebook-reviews
